"No","year","month","day","hour","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","RAIN","wd","WSPM","station","pollution_ratio"
77,2013,3,4,4,4,20,13,33,400,49,6,1018,-11.6,0,"NNW",1,"Guanyuan",0.2
78,2013,3,4,5,6,25,16,26,400,54,2.7,1018.6,-10.9,0,"SSE",0.5,"Guanyuan",0.24
79,2013,3,4,6,10,26,18,39,600,40,3.8,1018.9,-11.4,0,"N",2.3,"Guanyuan",0.384615384615385
80,2013,3,4,7,7,22,23,67,800,16,6.5,1019.7,-10.7,0,"N",2.3,"Guanyuan",0.318181818181818
81,2013,3,4,8,10,28,27,67,800,20,9,1020.7,-12.2,0,"NE",3.1,"Guanyuan",0.357142857142857
82,2013,3,4,9,13,29,32,52,700,37,10.6,1020.8,-12.1,0,"NNE",1.3,"Guanyuan",0.448275862068966
83,2013,3,4,10,10,22,12,31,500,62,11.9,1020.4,-12.4,0,"NE",2.1,"Guanyuan",0.454545454545455
84,2013,3,4,11,9,14,11,31,500,67,13.1,1020,-13,0,"NE",3,"Guanyuan",0.642857142857143
85,2013,3,4,12,9,25,12,28,400,73,14.2,1018.9,-13.9,0,"N",2.7,"Guanyuan",0.36
86,2013,3,4,13,15,18,8,22,400,80,15.3,1017.8,-13,0,"S",2,"Guanyuan",0.833333333333333
87,2013,3,4,14,3,10,3,18,300,88,15.2,1017,-13.1,0,"SW",0.7,"Guanyuan",0.3
88,2013,3,4,15,6,8,6,31,400,76,15.3,1016.3,-13,0,"SSW",2.4,"Guanyuan",0.75
89,2013,3,4,16,3,6,10,35,400,84,14.5,1015.7,-13.7,0,"S",2.6,"Guanyuan",0.5
90,2013,3,4,17,3,100,7,41,400,95,12.7,1015.9,-11.8,0,"SW",2.6,"Guanyuan",0.03
91,2013,3,4,18,17,70,9,51,500,80,11.6,1016.5,-11.3,0,"SSW",3.4,"Guanyuan",0.242857142857143
92,2013,3,4,19,27,58,14,70,600,58,10.9,1016.6,-10.6,0,"SW",3.5,"Guanyuan",0.46551724137931
93,2013,3,4,20,36,75,21,79,600,46,9.9,1016.9,-10.3,0,"SSW",3.1,"Guanyuan",0.48
94,2013,3,4,21,41,78,45,87,700,37,8.4,1016.9,-10,0,"SSW",2.1,"Guanyuan",0.525641025641026
95,2013,3,4,22,53,94,66,98,900,24,8.6,1016.3,-9.9,0,"SSW",2.4,"Guanyuan",0.563829787234043
96,2013,3,4,23,59,103,48,96,1000,95,7.7,1015.7,-9.3,0,"SW",2.1,"Guanyuan",0.572815533980582
97,2013,3,5,0,70,102,57,90,1200,95,4.7,1015.2,-9.1,0,"SW",1.6,"Guanyuan",0.686274509803922
98,2013,3,5,1,93,116,76,81,1300,95,1.1,1014.7,-7.9,0,"SW",0,"Guanyuan",0.801724137931034
99,2013,3,5,2,108,135,78,88,1399,95,-0.6,1014.4,-8.1,0,"S",0,"Guanyuan",0.8
100,2013,3,5,3,116,143,88,84,1500,95,0.2,1014,-8.8,0,"NE",1.2,"Guanyuan",0.811188811188811
101,2013,3,5,4,121,137,79,90,1700,95,1.8,1013.7,-9.5,0,"NE",1.5,"Guanyuan",0.883211678832117
102,2013,3,5,5,121,138,69,97,2299,95,0.6,1013.9,-9.4,0,"N",0.8,"Guanyuan",0.876811594202899
103,2013,3,5,6,111,146,84,101,2700,95,-0.2,1013.4,-8.6,0,"NE",1.3,"Guanyuan",0.76027397260274
104,2013,3,5,7,100,130,85,98,3000,95,2.9,1013.4,-9.1,0,"NNE",1.3,"Guanyuan",0.769230769230769
105,2013,3,5,8,98,136,78,97,3000,95,5.1,1013.4,-9.1,0,"NNE",1.2,"Guanyuan",0.720588235294118
106,2013,3,5,9,106,168,87,97,2600,95,7.7,1012.8,-8.4,0,"NNE",1.5,"Guanyuan",0.630952380952381
107,2013,3,5,10,111,142,84,100,2399,95,9.4,1012,-8.2,0,"NE",1.5,"Guanyuan",0.78169014084507
108,2013,3,5,11,119,141,84,104,2200,95,10.6,1011.1,-8.1,0,"NNE",1.4,"Guanyuan",0.843971631205674
109,2013,3,5,12,129,154,84,118,2100,31,11.9,1009.7,-7.5,0,"NNW",1.3,"Guanyuan",0.837662337662338
110,2013,3,5,13,135,152,74,126,2000,95,12.6,1008.5,-8,0,"N",1,"Guanyuan",0.888157894736842
111,2013,3,5,14,128,139,69,145,2200,95,13.5,1007.7,-7.8,0,"NNE",1.4,"Guanyuan",0.920863309352518
112,2013,3,5,15,152,152,67,166,2399,95,13.8,1007.2,-7.6,0,"NE",1.2,"Guanyuan",1
113,2013,3,5,16,158,158,77,190,2700,95,13.2,1007.1,-7,0,"NE",2,"Guanyuan",1
114,2013,3,5,17,178,189,86,206,3000,80,12.1,1007.7,-6.4,0,"NNE",1.6,"Guanyuan",0.941798941798942
115,2013,3,5,18,196,216,96,197,2700,58,9,1008.2,-5.7,0,"NE",1.4,"Guanyuan",0.907407407407407
116,2013,3,5,19,200,224,93,194,2899,46,5.3,1008.5,-4.8,0,"ESE",0,"Guanyuan",0.892857142857143
117,2013,3,5,20,201,224,94,189,2899,39,3.3,1008.7,-4.7,0,"N",0.2,"Guanyuan",0.897321428571429
118,2013,3,5,21,207,224,89,189,3500,39,2.9,1009,-4.6,0,"NNE",1.2,"Guanyuan",0.924107142857143
119,2013,3,5,22,215,236,100,192,3700,39,5.2,1008.9,-6.1,0,"NE",1.1,"Guanyuan",0.911016949152542
120,2013,3,5,23,215,227,123,195,4200,39,4.9,1008.4,-6.1,0,"NE",1.4,"Guanyuan",0.947136563876652
121,2013,3,6,0,230,248,136,188,4700,39,4.9,1008.5,-6.4,0,"NE",1.2,"Guanyuan",0.92741935483871
122,2013,3,6,1,244,264,119,172,4200,39,4.8,1008.3,-5.9,0,"NE",1.5,"Guanyuan",0.924242424242424
123,2013,3,6,2,176,222,8,158,3500,39,4.1,1007.8,-5.9,0,"NE",1.9,"Guanyuan",0.792792792792793
124,2013,3,6,3,160,189,102,160,NA,39,4,1007.6,-6.3,0,"NE",1.9,"Guanyuan",0.846560846560847
125,2013,3,6,4,194,204,89,51,3100,39,3.9,1007.3,-6.1,0,"NE",1.4,"Guanyuan",0.950980392156863
126,2013,3,6,5,186,194,111,154,3299,39,4.1,1007.8,-5.7,0,"NE",1.6,"Guanyuan",0.958762886597938
127,2013,3,6,6,163,186,115,160,3299,39,4.5,1008.4,-5.3,0,"NE",2,"Guanyuan",0.876344086021505
128,2013,3,6,7,158,188,100,153,3399,39,5.7,1009.3,-5,0,"NE",1.7,"Guanyuan",0.840425531914894
129,2013,3,6,8,192,204,115,135,2899,39,6.6,1009.3,-4.8,0,"NE",1.7,"Guanyuan",0.941176470588235
130,2013,3,6,9,191,225,102,120,2500,39,7.5,1009.1,-4.6,0,"NE",1.7,"Guanyuan",0.848888888888889
131,2013,3,6,10,178,182,105,117,2399,39,8.7,1008.6,-4.5,0,"NE",1.5,"Guanyuan",0.978021978021978
132,2013,3,6,11,176,181,112,118,2399,39,10.1,1007.7,-4.7,0,"NE",1.4,"Guanyuan",0.972375690607735
133,2013,3,6,12,185,195,131,135,3100,39,11.1,1006.9,-4.2,0,"ENE",0.4,"Guanyuan",0.948717948717949
134,2013,3,6,13,208,225,134,150,3500,36,12.6,1005.8,-3.7,0,"WSW",1.5,"Guanyuan",0.924444444444444
135,2013,3,6,14,218,245,130,157,3399,25,14.5,1005.5,-3.3,0,"SSE",1.6,"Guanyuan",0.889795918367347
136,2013,3,6,15,232,256,146,158,3299,18,14.7,1005.5,-3.2,0,"SSW",2.5,"Guanyuan",0.90625
137,2013,3,6,16,228,248,139,173,3500,12,14.2,1005.5,-3.2,0,"S",1.4,"Guanyuan",0.919354838709677
138,2013,3,6,17,226,252,151,173,3500,12,11.6,1005.9,-3.4,0,"SSW",1.1,"Guanyuan",0.896825396825397
139,2013,3,6,18,228,277,145,164,3200,12,6.8,1006.8,-2.9,0,"WSW",0.9,"Guanyuan",0.823104693140794
140,2013,3,6,19,225,265,148,171,3399,12,5.1,1007.6,-2.5,0,"WSW",1.2,"Guanyuan",0.849056603773585
141,2013,3,6,20,231,270,140,169,3700,12,4.4,1008.2,-2.5,0,"SSW",1.1,"Guanyuan",0.855555555555556
142,2013,3,6,21,236,266,156,162,3600,12,3.8,1007.7,-2.2,0,"WSW",1.9,"Guanyuan",0.887218045112782
143,2013,3,6,22,231,262,158,159,3700,12,2.4,1007.3,-2.5,0,"WSW",1.2,"Guanyuan",0.881679389312977
144,2013,3,6,23,238,266,149,156,4200,12,2.3,1007.2,-2.4,0,"NNE",1.3,"Guanyuan",0.894736842105263
145,2013,3,7,0,242,275,145,151,4099,12,1.5,1007.1,-2.6,0,"NNE",0.8,"Guanyuan",0.88
146,2013,3,7,1,246,281,140,148,3899,12,0.7,1007.1,-2.7,0,"SE",1.2,"Guanyuan",0.875444839857651
147,2013,3,7,2,236,264,133,140,3600,12,1.5,1006.9,-2.5,0,"NNE",0.6,"Guanyuan",0.893939393939394
148,2013,3,7,3,224,260,122,132,3600,12,0.3,1006.5,-2.7,0,"WNW",1.7,"Guanyuan",0.861538461538462
149,2013,3,7,4,221,254,99,122,3500,12,-0.9,1006.4,-3.3,0,"N",0.5,"Guanyuan",0.87007874015748
150,2013,3,7,5,218,232,79,116,3700,12,1.6,1006.7,-1.5,0,"NNE",1.7,"Guanyuan",0.939655172413793
151,2013,3,7,6,214,222,70,116,4299,12,0.3,1006.6,-2.7,0,"SW",0.4,"Guanyuan",0.963963963963964
152,2013,3,7,7,220,246,66,124,5400,12,2.4,1006.8,-1.4,0,"NNE",1.5,"Guanyuan",0.894308943089431
153,2013,3,7,8,237,250,80,157,6799,12,8.3,1006.5,-1,0,"NNE",0.8,"Guanyuan",0.948
154,2013,3,7,9,262,342,140,184,5900,12,10.1,1006.1,-0.7,0,"W",0.6,"Guanyuan",0.766081871345029
155,2013,3,7,10,278,333,141,199,5000,12,12.7,1005.5,-1.6,0,"ENE",1.2,"Guanyuan",0.834834834834835
156,2013,3,7,11,280,299,127,233,5299,12,16.5,1003.6,-1.6,0,"WSW",1.7,"Guanyuan",0.936454849498328
157,2013,3,7,12,289,328,109,270,5700,12,17.1,1001.6,-3.1,0,"SSW",3.7,"Guanyuan",0.88109756097561
158,2013,3,7,13,297,344,92,204,3700,29,17.7,1000.2,-3.2,0,"SW",3.1,"Guanyuan",0.863372093023256
159,2013,3,7,14,252,254,88,142,3000,72,18.3,998.6,-3.2,0,"SSW",3.6,"Guanyuan",0.992125984251969
160,2013,3,7,15,264,282,56,89,2100,96,18.6,997.6,-1.8,0,"SSW",3.3,"Guanyuan",0.936170212765957
161,2013,3,7,16,230,230,48,74,1700,107,17.9,997.2,-0.9,0,"SW",1.9,"Guanyuan",1
162,2013,3,7,17,192,205,63,96,1899,107,15.4,997.1,-1.7,0,"NNW",1.4,"Guanyuan",0.936585365853659
163,2013,3,7,18,205,242,63,122,2000,107,14.4,997.4,-2.5,0,"N",1.9,"Guanyuan",0.847107438016529
164,2013,3,7,19,197,235,57,163,2500,18,13.4,997.9,-2.6,0,"NNE",1.5,"Guanyuan",0.838297872340426
165,2013,3,7,20,197,247,82,218,3399,107,11.8,997.7,-2.1,0,"NE",1.5,"Guanyuan",0.797570850202429
166,2013,3,7,21,263,309,137,226,4099,107,9.2,997.9,-1.3,0,"NNE",1.4,"Guanyuan",0.851132686084142
167,2013,3,7,22,319,375,123,226,4700,107,7.5,998.3,-1.2,0,"NE",1.3,"Guanyuan",0.850666666666667
168,2013,3,7,23,369,414,109,221,4900,107,6.6,998.4,-0.9,0,"E",0.1,"Guanyuan",0.891304347826087
169,2013,3,8,0,358,372,118,214,4200,107,4.1,998.2,-1.3,0,"ESE",0,"Guanyuan",0.962365591397849
170,2013,3,8,1,353,368,107,197,4099,107,3.3,998.5,-1.7,0,"N",0.9,"Guanyuan",0.959239130434783
171,2013,3,8,2,351,361,87,192,4599,107,2.5,998.2,-1.9,0,"SW",0.8,"Guanyuan",0.972299168975069
172,2013,3,8,3,335,337,81,192,4799,107,1.8,997.9,-1.8,0,"N",0,"Guanyuan",0.99406528189911
173,2013,3,8,4,273,308,75,175,4200,107,1.3,998.5,-1.8,0,"W",1,"Guanyuan",0.886363636363636
174,2013,3,8,5,265,293,70,176,4000,107,1.4,999,-1.5,0,"SW",0.8,"Guanyuan",0.904436860068259
175,2013,3,8,6,291,293,74,173,4500,107,1.1,999.7,-1.8,0,"WSW",0.8,"Guanyuan",0.993174061433447
176,2013,3,8,7,282,307,65,182,5400,107,5.7,1000.4,0.5,0,"NNE",1,"Guanyuan",0.9185667752443
177,2013,3,8,8,266,308,78,191,6299,107,10.9,1000.8,1.4,0,"SE",0.7,"Guanyuan",0.863636363636364
178,2013,3,8,9,315,358,86,214,6500,107,16.9,1001.1,-0.4,0,"E",1,"Guanyuan",0.879888268156425
179,2013,3,8,10,314,331,72.5424,220.0816,NA,107,19.1,1000.9,-0.4,0,"SSW",1.9,"Guanyuan",0.948640483383686
180,2013,3,8,11,225,258,56,202,4099,107,20.5,1000.5,-3.3,0,"SSW",4.4,"Guanyuan",0.872093023255814
181,2013,3,8,12,185,210,45,172,3100,107,21.7,999.4,-2.3,0,"S",3,"Guanyuan",0.880952380952381
182,2013,3,8,13,133,188,35,97,1500,107,22.5,998.2,-2.3,0,"S",3.3,"Guanyuan",0.707446808510638
183,2013,3,8,14,127,185,36,68,1300,107,17.4,998.3,1.4,0,"ESE",4.5,"Guanyuan",0.686486486486486
184,2013,3,8,15,268,501,88,136,3799,107,13.9,999.5,1.2,0,"ESE",2.7,"Guanyuan",0.534930139720559
185,2013,3,8,16,163,277,63,85,1800,104,11.9,1000.2,0,0,"ESE",2.6,"Guanyuan",0.588447653429603
186,2013,3,8,17,116,170,46,63,1100,104,10.3,999.9,-0.5,0,"SE",2.8,"Guanyuan",0.682352941176471
187,2013,3,8,18,84,117,40,60,800,104,9.3,1000.6,-0.9,0,"S",1.4,"Guanyuan",0.717948717948718
188,2013,3,8,19,73,91,39,55,800,104,8,1000.5,-0.3,0,"NE",0.8,"Guanyuan",0.802197802197802
189,2013,3,8,20,90,116,43,77,1000,104,7.9,1000.4,-1.6,0,"SSW",1.4,"Guanyuan",0.775862068965517
190,2013,3,8,21,48,63,36,49,900,104,7.2,1000,-1.5,0,"ENE",1.6,"Guanyuan",0.761904761904762
191,2013,3,8,22,46,84,40,81,1300,104,6.3,999,-3.4,0,"E",0.9,"Guanyuan",0.547619047619048
192,2013,3,8,23,78,92,55,83,1600,104,5.7,997.7,-3.4,0,"SSW",1,"Guanyuan",0.847826086956522
193,2013,3,9,0,47,61,61,64,1600,104,3.6,996.1,-2.6,0,"W",0.6,"Guanyuan",0.770491803278688
194,2013,3,9,1,52,73,66,71,1800,104,2.1,994.9,-2.6,0,"W",1.1,"Guanyuan",0.712328767123288
195,2013,3,9,2,62,88,76,60,2100,104,1.4,994.1,-3.1,0,"N",0,"Guanyuan",0.704545454545455
196,2013,3,9,3,70,96,83,65,2299,104,1.1,993,-3.2,0,"NE",1.4,"Guanyuan",0.729166666666667
197,2013,3,9,4,73,97,85,57,2299,104,1.8,992,-2.3,0,"E",0,"Guanyuan",0.752577319587629
198,2013,3,9,5,74,96,63,97,2200,104,3.2,992,-2.8,0,"NE",1.3,"Guanyuan",0.770833333333333
199,2013,3,9,6,97,112,63,97,1899,104,2.8,992.2,-2.5,0,"NE",1,"Guanyuan",0.866071428571429
200,2013,3,9,7,98,116,67,94,1800,104,4.6,992.9,-2.1,0,"NE",1.8,"Guanyuan",0.844827586206897
201,2013,3,9,8,99,121,68,92,1800,104,8.4,994.1,-1.7,0,"E",2.6,"Guanyuan",0.818181818181818
202,2013,3,9,9,104,146,86,98,1899,104,16.3,995.9,-0.4,0,"NNW",3.3,"Guanyuan",0.712328767123288
203,2013,3,9,10,125,328,79,90,1800,104,16.7,998.3,-4.6,0,"NNW",7.7,"Guanyuan",0.38109756097561
204,2013,3,9,11,76,737,20,36,600,104,14.3,1001.3,-9.1,0,"NNW",7.4,"Guanyuan",0.103120759837178
205,2013,3,9,12,44,987,3,21,200,104,12.4,1004.3,-14.4,0,"NW",7.9,"Guanyuan",0.0445795339412361
206,2013,3,9,13,48,89,3,18,200,104,10.3,1006.5,-17,0,"NNW",7.2,"Guanyuan",NA
207,2013,3,9,14,48,89,3,18,200,87,10.5,1008.1,-16.8,0,"NNW",6.7,"Guanyuan",NA
208,2013,3,9,15,41,448,3,18,200,87,10.2,1009.4,-17.1,0,"N",3.9,"Guanyuan",0.0915178571428571
209,2013,3,9,16,12,191,3,20,200,87,10.5,1010.8,-17.8,0,"N",4.8,"Guanyuan",0.06282722513089
210,2013,3,9,17,10,171,4,23,200,87,8.6,1013,-18.3,0,"NNE",4.8,"Guanyuan",0.0584795321637427
211,2013,3,9,18,12,140,3,23,200,87,7.4,1015.9,-19.3,0,"NNE",4.8,"Guanyuan",0.0857142857142857
212,2013,3,9,19,9,112,8,26,200,87,6.4,1018.1,-18.4,0,"N",3.5,"Guanyuan",0.0803571428571429
213,2013,3,9,20,10,87,8,24,200,87,5.6,1019.7,-18.3,0,"N",4.5,"Guanyuan",0.114942528735632
214,2013,3,9,21,10,64,11,27,200,87,4.8,1020.3,-17.6,0,"N",3.3,"Guanyuan",0.15625
215,2013,3,9,22,9,41,11,28,200,87,3.8,1021.2,-17.8,0,"NNE",1.2,"Guanyuan",0.219512195121951
216,2013,3,9,23,12,24,4,29,300,87,0.8,1021.3,-14.1,0,"SSE",0.6,"Guanyuan",0.5
217,2013,3,10,0,12,22,3,31,300,87,-0.5,1020.8,-13.4,0,"N",0,"Guanyuan",0.545454545454545
218,2013,3,10,1,13,21,7,37,400,87,-0.2,1021.1,-11.6,0,"W",1,"Guanyuan",0.619047619047619
219,2013,3,10,2,15,41,7,44,400,87,-2.1,1020.9,-11.7,0,"NNE",0.7,"Guanyuan",0.365853658536585
220,2013,3,10,3,16,30,14,46,NA,87,-2,1021.1,-11.8,0,"NNW",1.2,"Guanyuan",0.533333333333333
221,2013,3,10,4,3,7,8,47,600,87,-1.3,1021.9,-14.8,0,"NNE",0,"Guanyuan",0.428571428571429
222,2013,3,10,5,14,18,9,61,700,87,-1.8,1022,-10.9,0,"W",1.7,"Guanyuan",0.777777777777778
